case_id,run_id,decision_mode,channel,traceback_depth,path_metric_width,normalization,payload_length,mismatch_count,first_mismatch
all_zero,m5_all_zero_tb16_pm8_none,hard,no_noise,16,8,none,96,0,
all_zero,m5_all_zero_tb16_pm8_subtract_min,hard,no_noise,16,8,subtract_min,96,0,
all_zero,m5_all_zero_tb16_pm10_none,hard,no_noise,16,10,none,96,0,
all_zero,m5_all_zero_tb16_pm10_subtract_min,hard,no_noise,16,10,subtract_min,96,0,
all_zero,m5_all_zero_tb16_pm12_none,hard,no_noise,16,12,none,96,0,
all_zero,m5_all_zero_tb16_pm12_subtract_min,hard,no_noise,16,12,subtract_min,96,0,
all_zero,m5_all_zero_tb16_pm16_none,hard,no_noise,16,16,none,96,0,
all_zero,m5_all_zero_tb16_pm16_subtract_min,hard,no_noise,16,16,subtract_min,96,0,
all_zero,m5_all_zero_tb32_pm8_none,hard,no_noise,32,8,none,96,0,
all_zero,m5_all_zero_tb32_pm8_subtract_min,hard,no_noise,32,8,subtract_min,96,0,
all_zero,m5_all_zero_tb32_pm10_none,hard,no_noise,32,10,none,96,0,
all_zero,m5_all_zero_tb32_pm10_subtract_min,hard,no_noise,32,10,subtract_min,96,0,
all_zero,m5_all_zero_tb32_pm12_none,hard,no_noise,32,12,none,96,0,
all_zero,m5_all_zero_tb32_pm12_subtract_min,hard,no_noise,32,12,subtract_min,96,0,
all_zero,m5_all_zero_tb32_pm16_none,hard,no_noise,32,16,none,96,0,
all_zero,m5_all_zero_tb32_pm16_subtract_min,hard,no_noise,32,16,subtract_min,96,0,
all_zero,m5_all_zero_tb40_pm8_none,hard,no_noise,40,8,none,96,0,
all_zero,m5_all_zero_tb40_pm8_subtract_min,hard,no_noise,40,8,subtract_min,96,0,
all_zero,m5_all_zero_tb40_pm10_none,hard,no_noise,40,10,none,96,0,
all_zero,m5_all_zero_tb40_pm10_subtract_min,hard,no_noise,40,10,subtract_min,96,0,
all_zero,m5_all_zero_tb40_pm12_none,hard,no_noise,40,12,none,96,0,
all_zero,m5_all_zero_tb40_pm12_subtract_min,hard,no_noise,40,12,subtract_min,96,0,
all_zero,m5_all_zero_tb40_pm16_none,hard,no_noise,40,16,none,96,0,
all_zero,m5_all_zero_tb40_pm16_subtract_min,hard,no_noise,40,16,subtract_min,96,0,
all_zero,m5_all_zero_tb64_pm8_none,hard,no_noise,64,8,none,96,0,
all_zero,m5_all_zero_tb64_pm8_subtract_min,hard,no_noise,64,8,subtract_min,96,0,
all_zero,m5_all_zero_tb64_pm10_none,hard,no_noise,64,10,none,96,0,
all_zero,m5_all_zero_tb64_pm10_subtract_min,hard,no_noise,64,10,subtract_min,96,0,
all_zero,m5_all_zero_tb64_pm12_none,hard,no_noise,64,12,none,96,0,
all_zero,m5_all_zero_tb64_pm12_subtract_min,hard,no_noise,64,12,subtract_min,96,0,
all_zero,m5_all_zero_tb64_pm16_none,hard,no_noise,64,16,none,96,0,
all_zero,m5_all_zero_tb64_pm16_subtract_min,hard,no_noise,64,16,subtract_min,96,0,
burst_error_short,m5_burst_error_short_tb16_pm8_none,hard,burst_error,16,8,none,96,0,
burst_error_short,m5_burst_error_short_tb16_pm8_subtract_min,hard,burst_error,16,8,subtract_min,96,0,
burst_error_short,m5_burst_error_short_tb16_pm10_none,hard,burst_error,16,10,none,96,0,
burst_error_short,m5_burst_error_short_tb16_pm10_subtract_min,hard,burst_error,16,10,subtract_min,96,0,
burst_error_short,m5_burst_error_short_tb16_pm12_none,hard,burst_error,16,12,none,96,0,
burst_error_short,m5_burst_error_short_tb16_pm12_subtract_min,hard,burst_error,16,12,subtract_min,96,0,
burst_error_short,m5_burst_error_short_tb16_pm16_none,hard,burst_error,16,16,none,96,0,
burst_error_short,m5_burst_error_short_tb16_pm16_subtract_min,hard,burst_error,16,16,subtract_min,96,0,
burst_error_short,m5_burst_error_short_tb32_pm8_none,hard,burst_error,32,8,none,96,0,
burst_error_short,m5_burst_error_short_tb32_pm8_subtract_min,hard,burst_error,32,8,subtract_min,96,0,
burst_error_short,m5_burst_error_short_tb32_pm10_none,hard,burst_error,32,10,none,96,0,
burst_error_short,m5_burst_error_short_tb32_pm10_subtract_min,hard,burst_error,32,10,subtract_min,96,0,
burst_error_short,m5_burst_error_short_tb32_pm12_none,hard,burst_error,32,12,none,96,0,
burst_error_short,m5_burst_error_short_tb32_pm12_subtract_min,hard,burst_error,32,12,subtract_min,96,0,
burst_error_short,m5_burst_error_short_tb32_pm16_none,hard,burst_error,32,16,none,96,0,
burst_error_short,m5_burst_error_short_tb32_pm16_subtract_min,hard,burst_error,32,16,subtract_min,96,0,
burst_error_short,m5_burst_error_short_tb40_pm8_none,hard,burst_error,40,8,none,96,0,
burst_error_short,m5_burst_error_short_tb40_pm8_subtract_min,hard,burst_error,40,8,subtract_min,96,0,
burst_error_short,m5_burst_error_short_tb40_pm10_none,hard,burst_error,40,10,none,96,0,
burst_error_short,m5_burst_error_short_tb40_pm10_subtract_min,hard,burst_error,40,10,subtract_min,96,0,
burst_error_short,m5_burst_error_short_tb40_pm12_none,hard,burst_error,40,12,none,96,0,
burst_error_short,m5_burst_error_short_tb40_pm12_subtract_min,hard,burst_error,40,12,subtract_min,96,0,
burst_error_short,m5_burst_error_short_tb40_pm16_none,hard,burst_error,40,16,none,96,0,
burst_error_short,m5_burst_error_short_tb40_pm16_subtract_min,hard,burst_error,40,16,subtract_min,96,0,
burst_error_short,m5_burst_error_short_tb64_pm8_none,hard,burst_error,64,8,none,96,0,
burst_error_short,m5_burst_error_short_tb64_pm8_subtract_min,hard,burst_error,64,8,subtract_min,96,0,
burst_error_short,m5_burst_error_short_tb64_pm10_none,hard,burst_error,64,10,none,96,0,
burst_error_short,m5_burst_error_short_tb64_pm10_subtract_min,hard,burst_error,64,10,subtract_min,96,0,
burst_error_short,m5_burst_error_short_tb64_pm12_none,hard,burst_error,64,12,none,96,0,
burst_error_short,m5_burst_error_short_tb64_pm12_subtract_min,hard,burst_error,64,12,subtract_min,96,0,
burst_error_short,m5_burst_error_short_tb64_pm16_none,hard,burst_error,64,16,none,96,0,
burst_error_short,m5_burst_error_short_tb64_pm16_subtract_min,hard,burst_error,64,16,subtract_min,96,0,
impulse_one,m5_impulse_one_tb16_pm8_none,hard,no_noise,16,8,none,96,0,
impulse_one,m5_impulse_one_tb16_pm8_subtract_min,hard,no_noise,16,8,subtract_min,96,0,
impulse_one,m5_impulse_one_tb16_pm10_none,hard,no_noise,16,10,none,96,0,
impulse_one,m5_impulse_one_tb16_pm10_subtract_min,hard,no_noise,16,10,subtract_min,96,0,
impulse_one,m5_impulse_one_tb16_pm12_none,hard,no_noise,16,12,none,96,0,
impulse_one,m5_impulse_one_tb16_pm12_subtract_min,hard,no_noise,16,12,subtract_min,96,0,
impulse_one,m5_impulse_one_tb16_pm16_none,hard,no_noise,16,16,none,96,0,
impulse_one,m5_impulse_one_tb16_pm16_subtract_min,hard,no_noise,16,16,subtract_min,96,0,
impulse_one,m5_impulse_one_tb32_pm8_none,hard,no_noise,32,8,none,96,0,
impulse_one,m5_impulse_one_tb32_pm8_subtract_min,hard,no_noise,32,8,subtract_min,96,0,
impulse_one,m5_impulse_one_tb32_pm10_none,hard,no_noise,32,10,none,96,0,
impulse_one,m5_impulse_one_tb32_pm10_subtract_min,hard,no_noise,32,10,subtract_min,96,0,
impulse_one,m5_impulse_one_tb32_pm12_none,hard,no_noise,32,12,none,96,0,
impulse_one,m5_impulse_one_tb32_pm12_subtract_min,hard,no_noise,32,12,subtract_min,96,0,
impulse_one,m5_impulse_one_tb32_pm16_none,hard,no_noise,32,16,none,96,0,
impulse_one,m5_impulse_one_tb32_pm16_subtract_min,hard,no_noise,32,16,subtract_min,96,0,
impulse_one,m5_impulse_one_tb40_pm8_none,hard,no_noise,40,8,none,96,0,
impulse_one,m5_impulse_one_tb40_pm8_subtract_min,hard,no_noise,40,8,subtract_min,96,0,
impulse_one,m5_impulse_one_tb40_pm10_none,hard,no_noise,40,10,none,96,0,
impulse_one,m5_impulse_one_tb40_pm10_subtract_min,hard,no_noise,40,10,subtract_min,96,0,
impulse_one,m5_impulse_one_tb40_pm12_none,hard,no_noise,40,12,none,96,0,
impulse_one,m5_impulse_one_tb40_pm12_subtract_min,hard,no_noise,40,12,subtract_min,96,0,
impulse_one,m5_impulse_one_tb40_pm16_none,hard,no_noise,40,16,none,96,0,
impulse_one,m5_impulse_one_tb40_pm16_subtract_min,hard,no_noise,40,16,subtract_min,96,0,
impulse_one,m5_impulse_one_tb64_pm8_none,hard,no_noise,64,8,none,96,0,
impulse_one,m5_impulse_one_tb64_pm8_subtract_min,hard,no_noise,64,8,subtract_min,96,0,
impulse_one,m5_impulse_one_tb64_pm10_none,hard,no_noise,64,10,none,96,0,
impulse_one,m5_impulse_one_tb64_pm10_subtract_min,hard,no_noise,64,10,subtract_min,96,0,
impulse_one,m5_impulse_one_tb64_pm12_none,hard,no_noise,64,12,none,96,0,
impulse_one,m5_impulse_one_tb64_pm12_subtract_min,hard,no_noise,64,12,subtract_min,96,0,
impulse_one,m5_impulse_one_tb64_pm16_none,hard,no_noise,64,16,none,96,0,
impulse_one,m5_impulse_one_tb64_pm16_subtract_min,hard,no_noise,64,16,subtract_min,96,0,
no_noise,m5_no_noise_tb16_pm8_none,hard,no_noise,16,8,none,96,0,
no_noise,m5_no_noise_tb16_pm8_subtract_min,hard,no_noise,16,8,subtract_min,96,0,
no_noise,m5_no_noise_tb16_pm10_none,hard,no_noise,16,10,none,96,0,
no_noise,m5_no_noise_tb16_pm10_subtract_min,hard,no_noise,16,10,subtract_min,96,0,
no_noise,m5_no_noise_tb16_pm12_none,hard,no_noise,16,12,none,96,0,
no_noise,m5_no_noise_tb16_pm12_subtract_min,hard,no_noise,16,12,subtract_min,96,0,
no_noise,m5_no_noise_tb16_pm16_none,hard,no_noise,16,16,none,96,0,
no_noise,m5_no_noise_tb16_pm16_subtract_min,hard,no_noise,16,16,subtract_min,96,0,
no_noise,m5_no_noise_tb32_pm8_none,hard,no_noise,32,8,none,96,0,
no_noise,m5_no_noise_tb32_pm8_subtract_min,hard,no_noise,32,8,subtract_min,96,0,
no_noise,m5_no_noise_tb32_pm10_none,hard,no_noise,32,10,none,96,0,
no_noise,m5_no_noise_tb32_pm10_subtract_min,hard,no_noise,32,10,subtract_min,96,0,
no_noise,m5_no_noise_tb32_pm12_none,hard,no_noise,32,12,none,96,0,
no_noise,m5_no_noise_tb32_pm12_subtract_min,hard,no_noise,32,12,subtract_min,96,0,
no_noise,m5_no_noise_tb32_pm16_none,hard,no_noise,32,16,none,96,0,
no_noise,m5_no_noise_tb32_pm16_subtract_min,hard,no_noise,32,16,subtract_min,96,0,
no_noise,m5_no_noise_tb40_pm8_none,hard,no_noise,40,8,none,96,0,
no_noise,m5_no_noise_tb40_pm8_subtract_min,hard,no_noise,40,8,subtract_min,96,0,
no_noise,m5_no_noise_tb40_pm10_none,hard,no_noise,40,10,none,96,0,
no_noise,m5_no_noise_tb40_pm10_subtract_min,hard,no_noise,40,10,subtract_min,96,0,
no_noise,m5_no_noise_tb40_pm12_none,hard,no_noise,40,12,none,96,0,
no_noise,m5_no_noise_tb40_pm12_subtract_min,hard,no_noise,40,12,subtract_min,96,0,
no_noise,m5_no_noise_tb40_pm16_none,hard,no_noise,40,16,none,96,0,
no_noise,m5_no_noise_tb40_pm16_subtract_min,hard,no_noise,40,16,subtract_min,96,0,
no_noise,m5_no_noise_tb64_pm8_none,hard,no_noise,64,8,none,96,0,
no_noise,m5_no_noise_tb64_pm8_subtract_min,hard,no_noise,64,8,subtract_min,96,0,
no_noise,m5_no_noise_tb64_pm10_none,hard,no_noise,64,10,none,96,0,
no_noise,m5_no_noise_tb64_pm10_subtract_min,hard,no_noise,64,10,subtract_min,96,0,
no_noise,m5_no_noise_tb64_pm12_none,hard,no_noise,64,12,none,96,0,
no_noise,m5_no_noise_tb64_pm12_subtract_min,hard,no_noise,64,12,subtract_min,96,0,
no_noise,m5_no_noise_tb64_pm16_none,hard,no_noise,64,16,none,96,0,
no_noise,m5_no_noise_tb64_pm16_subtract_min,hard,no_noise,64,16,subtract_min,96,0,
random_hard,m5_random_hard_tb16_pm8_none,hard,random_hard,16,8,none,96,0,
random_hard,m5_random_hard_tb16_pm8_subtract_min,hard,random_hard,16,8,subtract_min,96,0,
random_hard,m5_random_hard_tb16_pm10_none,hard,random_hard,16,10,none,96,0,
random_hard,m5_random_hard_tb16_pm10_subtract_min,hard,random_hard,16,10,subtract_min,96,0,
random_hard,m5_random_hard_tb16_pm12_none,hard,random_hard,16,12,none,96,0,
random_hard,m5_random_hard_tb16_pm12_subtract_min,hard,random_hard,16,12,subtract_min,96,0,
random_hard,m5_random_hard_tb16_pm16_none,hard,random_hard,16,16,none,96,0,
random_hard,m5_random_hard_tb16_pm16_subtract_min,hard,random_hard,16,16,subtract_min,96,0,
random_hard,m5_random_hard_tb32_pm8_none,hard,random_hard,32,8,none,96,0,
random_hard,m5_random_hard_tb32_pm8_subtract_min,hard,random_hard,32,8,subtract_min,96,0,
random_hard,m5_random_hard_tb32_pm10_none,hard,random_hard,32,10,none,96,0,
random_hard,m5_random_hard_tb32_pm10_subtract_min,hard,random_hard,32,10,subtract_min,96,0,
random_hard,m5_random_hard_tb32_pm12_none,hard,random_hard,32,12,none,96,0,
random_hard,m5_random_hard_tb32_pm12_subtract_min,hard,random_hard,32,12,subtract_min,96,0,
random_hard,m5_random_hard_tb32_pm16_none,hard,random_hard,32,16,none,96,0,
random_hard,m5_random_hard_tb32_pm16_subtract_min,hard,random_hard,32,16,subtract_min,96,0,
random_hard,m5_random_hard_tb40_pm8_none,hard,random_hard,40,8,none,96,0,
random_hard,m5_random_hard_tb40_pm8_subtract_min,hard,random_hard,40,8,subtract_min,96,0,
random_hard,m5_random_hard_tb40_pm10_none,hard,random_hard,40,10,none,96,0,
random_hard,m5_random_hard_tb40_pm10_subtract_min,hard,random_hard,40,10,subtract_min,96,0,
random_hard,m5_random_hard_tb40_pm12_none,hard,random_hard,40,12,none,96,0,
random_hard,m5_random_hard_tb40_pm12_subtract_min,hard,random_hard,40,12,subtract_min,96,0,
