run_id,timestamp,port,baud,program_returncode,capture_returncode,passed,case_count,failures,cases,total_mismatches,first_mismatch,failure_class,failure_detail,build_info,uart_log,program_log
m7_board_20260502_075808,2026-05-02T08:01:08,COM9,115200,0,1,False,0,,,0,,serial_timeout,Did not observe completion sentinel on UART,C:\codex_stage\viterbi_zu4ev\hero_soft3\artifacts\build_info.json,C:\Users\AIALRA-PORTABLE\Desktop\Vertebi\viterbi_startup_pack\src\data\board_runs\m7_board_20260502_075808\uart.log,C:\Users\AIALRA-PORTABLE\Desktop\Vertebi\viterbi_startup_pack\src\data\board_runs\m7_board_20260502_075808\program_driver.log
m7_board_20260502_080222,2026-05-02T08:03:12,COM9,115200,0,1,False,3,3,,0,,functional_failure,"Non-zero failures, mismatches, or error status observed",C:\codex_stage\viterbi_zu4ev\hero_soft3\artifacts\build_info.json,C:\Users\AIALRA-PORTABLE\Desktop\Vertebi\viterbi_startup_pack\src\data\board_runs\m7_board_20260502_080222\uart.log,C:\Users\AIALRA-PORTABLE\Desktop\Vertebi\viterbi_startup_pack\src\data\board_runs\m7_board_20260502_080222\program_driver.log
m7_board_20260502_080418,2026-05-02T08:07:19,COM9,115200,0,1,False,0,,,0,,serial_timeout,Did not observe completion sentinel on UART,C:\codex_stage\viterbi_zu4ev\hero_soft3\artifacts\build_info.json,C:\Users\AIALRA-PORTABLE\Desktop\Vertebi\viterbi_startup_pack\src\data\board_runs\m7_board_20260502_080418\uart.log,C:\Users\AIALRA-PORTABLE\Desktop\Vertebi\viterbi_startup_pack\src\data\board_runs\m7_board_20260502_080418\program_driver.log
m7_board_20260502_083547,2026-05-02T08:36:08,COM9,115200,0,0,True,3,0,no_noise;single_bit_error;soft_awgn_2db,0,,,,C:\codex_stage\viterbi_zu4ev\hero_soft3\artifacts\build_info.json,C:\Users\AIALRA-PORTABLE\Desktop\Vertebi\viterbi_startup_pack\src\data\board_runs\m7_board_20260502_083547\uart.log,C:\Users\AIALRA-PORTABLE\Desktop\Vertebi\viterbi_startup_pack\src\data\board_runs\m7_board_20260502_083547\program_driver.log
